Degree;Occurrence
1;515
2;625
3;441
4;546
5;517
6;588
7;362
8;277
9;325
10;556
11;619
12;216
13;194
14;368
15;321
16;197
17;194
18;92
19;140
20;94
21;112
22;114
23;156
24;79
25;80
26;58
27;59
28;53
29;836
30;867
31;57
32;24
33;68
34;32
35;26
36;20
37;33
38;38
39;34
40;25
41;46
42;33
43;39
44;45
45;26
46;16
47;21
48;28
49;317
50;16
51;17
52;7
53;22
54;8
55;16
56;16
57;17
58;17
59;10
60;9
61;21
62;12
63;53
64;9
65;9
66;232
67;7
68;7
69;6
70;2
71;7
72;17
73;9
74;4
75;4
76;14
77;3
78;5
79;7
80;3
81;3
82;3
83;4
84;12
85;2
86;2
88;3
89;2
90;2
91;5
92;1
93;6
94;5
95;3
96;2
97;3
98;1
99;3
100;3
101;2
102;3
103;6
104;9
105;2
106;2
107;2
108;3
109;5
110;3
111;9
112;14
113;6
114;8
115;6
116;3
117;6
118;5
119;3
121;1
122;2
123;4
124;3
125;1
126;1
127;6
128;2
130;2
131;3
132;5
133;5
134;6
136;5
137;6
138;5
139;8
141;1
142;4
143;1
144;3
146;2
147;3
148;3
149;2
150;3
151;5
152;4
153;2
154;1
155;1
156;2
158;1
162;1
163;2
166;1
167;1
170;3
172;1
173;1
174;3
175;1
176;1
178;1
182;1
183;1
184;2
185;1
186;1
190;4
191;5
192;2
194;1
197;2
198;1
200;1
202;1
203;3
206;1
207;1
208;1
209;2
210;2
212;1
213;2
214;2
218;1
219;3
220;1
221;4
222;4
223;5
224;4
225;2
226;3
227;1
228;2
230;3
231;2
232;3
234;2
235;3
236;1
237;3
238;2
239;2
240;2
241;3
243;1
244;2
245;2
246;1
247;2
248;1
249;1
252;1
256;1
259;1
268;2
273;1
275;2
278;3
286;1
289;1
290;1
295;1
296;1
297;1
298;1
299;1
300;1
310;1
312;2
315;1
319;1
328;1
330;1
331;1
332;1
338;1
339;1
340;1
342;2
344;1
346;1
347;1
349;1
352;1
353;1
354;1
355;1
361;1
363;1
365;1
366;1
368;2
369;1
370;1
373;1
379;1
396;1
405;2
407;1
408;1
410;1
411;1
414;2
415;2
420;1
425;1
433;1
436;1
437;1
439;1
442;1
443;1
445;1
448;1
460;1
484;1
485;1
510;1
516;1
544;1
548;1
550;1
551;1
599;1
630;1
654;1
668;1
686;1
701;1
727;1
751;1
780;1
791;1
835;1
847;1
905;1
923;1
1023;1
1115;1
1252;1
1299;1
1335;1
1340;1
1343;1
1345;1
1352;1
1373;1
1386;1
1414;1
1425;1
1435;1
1454;1
1516;1
1541;1
1554;1
1566;1
1573;2
1607;1
1609;1
1652;1
1718;1
1983;1
1994;1
2121;1
2132;1
2332;1
2339;1
2503;1
2613;1
2800;1
3587;1
